symbol,one week NASDAQ,one week stock,one week outperform,two week NASDAQ,two week stock,two week outperform,one month NASDAQ,one month stock,one month outperform,one year NASDAQ,one year stock,one year outperform,two years NASDAQ,two years stock,one years outperform,three years NASDAQ,three years stockthree years outperform,,
SNE,0.019343119,1.50273224,TRUE,0.242948712,-4.492753623,FALSE,0.220962374,-3.691275168,FALSE,6.799938022,14.50592885,TRUE,12.54827887,23.94514768,TRUE,31.12238998,51.87986652,TRUE,
SVU,1.745329898,-0.313807531,FALSE,2.297215493,0.518672199,FALSE,2.508978359,-2.021276596,FALSE,5.205704198,-17.09401709,FALSE,15.72560856,-75.31992687,FALSE,31.08219185,53.49175558,TRUE,
TGT,2.33059558,-1.712548015,FALSE,1.496888719,-0.094503071,FALSE,3.037941305,-5.494687915,FALSE,14.06213561,16.28243973,TRUE,10.07498783,11.29257398,TRUE,28.04428002,2.230769231,FALSE,
UPS,0.944063968,-1.45820497,FALSE,0.784914126,-0.33512745,FALSE,1.457520708,0.833082405,FALSE,2.364489888,-3.781512605,FALSE,12.19669308,7.542579075,FALSE,28.94723894,16.42700051,FALSE,
ANTM,1.759566979,2.713972719,TRUE,4.223607362,3.505082369,FALSE,5.340558056,6.264896153,TRUE,-4.028180783,-7.910003136,FALSE,19.03272126,16.48464992,FALSE,37.84262782,40.11572261,TRUE,
CVS,-2.387877617,0.316770748,TRUE,-1.596253626,2.071663555,TRUE,-3.207056231,-2.294046624,TRUE,-1.070036299,-17.93553914,FALSE,17.98064532,-38.66297369,FALSE,33.70622866,-49.46397069,FALSE,
HLT,0.452013178,2.078032231,TRUE,2.980459636,8.409361365,TRUE,6.863463459,5.98534202,FALSE,11.68961034,-2.485574789,FALSE,29.25205008,67.50633268,TRUE,34.56116867,66.39010189,TRUE,
VTKLY,-0.134459396,-3.319308088,FALSE,-3.158979745,-13.39148281,FALSE,-0.014291104,-8.652900688,FALSE,6.168244614,10.67097817,TRUE,26.65605191,19.63636364,FALSE,25.13091197,-32.17703349,FALSE,
WEN,3.123721174,2.351738241,FALSE,3.884385715,3.045685279,FALSE,5.60251519,1.546391753,FALSE,23.6213081,38.97763578,TRUE,36.4319144,42.74580336,TRUE,-,-,,
BABA,-5.151062497,-2.686953707,TRUE,-0.372145872,4.63018641,TRUE,4.316158137,10.67304985,TRUE,22.10660016,37.55290875,TRUE,38.55354555,66.30192287,TRUE,40.66364694,64.87848087,TRUE,
VZ,2.869852273,0.833179041,FALSE,1.591318801,-2.644691453,FALSE,2.705335472,-5.954500495,FALSE,18.60318364,-9.261525908,FALSE,34.56692519,-10.16042781,FALSE,-,-,,
EFX,0.485449872,-47.65156218,FALSE,0.386439704,-45.26208651,FALSE,2.847069103,-26.33442507,FALSE,19.52405163,-6.253722454,FALSE,-,-,-,-,,,
BMO,3.158869413,1.467370318,FALSE,3.987650149,1.959528689,FALSE,2.182598746,0.039174719,FALSE,-,-,-,-,-,-,,,,
CM,3.158869413,0.630517024,FALSE,3.987650149,2.089687112,FALSE,2.182598746,0.823798627,FALSE,-,-,-,-,-,-,,,,
CPCAY,2.703294634,-2.945736434,FALSE,6.107058059,0.895522388,FALSE,-1.952739819,4.871060172,TRUE,-,-,-,-,-,-,,,,
FB,-3.311312219,-4.531875675,FALSE,-7.329171843,-6.97281124,TRUE,-12.2661418,-13.13200798,FALSE,-,-,-,-,-,-,,,,
GOOGL,-4.107396456,-4.851057654,FALSE,-3.579241657,-4.008566004,FALSE,-5.554760864,-9.490115844,FALSE,-,-,-,-,-,-,,,,
MAR,-4.41591247,-3.808320549,TRUE,-8.540614752,-6.845625116,TRUE,-9.970088298,-7.044481668,TRUE,-,-,-,-,-,-,,,,
EXPE,-5.072041374,-4.470120277,TRUE,-4.575190508,-0.961010434,TRUE,-0.946638751,-0.027203482,TRUE,-,-,-,-,-,-,,,,
UAA,-2.145162332,3.71024735,TRUE,0.607877236,0.848999394,TRUE,0.79144936,8.300616938,TRUE,-,-,-,-,-,-,,,,
Avg,0.152458414,-1.330789124,,0.400180647,-1.416450492,,0.1983805,-1.720373564,,5.742332155,-111.129781,,17.16249835,-63.49963457,,26.81805345,-23.58251081,,
Med,0.88585607,0.034826883,,0.697919421,0.030448542,,0.883886908,-0.074281353,,8.18513795,1.651214339,,19.1781349,14.47674419,,31.80533852,9.814150636,,
StdD,2.585144521,8.379720656,,3.579948222,9.335125985,,5.661496198,13.54581433,,20.17851867,752.097262,,19.80773922,411.6213948,,16.11125218,119.4047107,,
,,,72,,,72,,,72,,,64,,,63,,,59,
,,Outperformed,31,43.05555556,Outperformed,32,44.44444444,Outperformed,31,43.05555556,Outperformed,23,35.9375,Outperformed,26,41.26984127,,22,37.28813559
,,Underperformed,41,56.94444444,Underperformed,40,55.55555556,Underperformed,41,56.94444444,Underperformed,41,64.0625,Underperformed,37,58.73015873,,37,62.71186441
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,Performance,1 Week,2 Weeks,1 Month,1 Year*,2 Years**,3 Years***,,,,,,,,,,,
,,Overperformed,43.05,44.44,43.05,35.93,41.26,37.28,,,,,,,,,,,
,,Underperformed,56.94,55.55,56.94,64.06,58.73,62.71,,,,,,,,,,,
